id,name,address,city,cuisine
1001,chanterelle, 2 harrison st., new york city, french (new)
1002,daniel, 20 e. 76th st., new york city, french (new)
1003,dawat, 210 e. 58th st., new york city, indian
1004,felidia, 243 e. 58th st., new york city, italian
1005,four seasons, 99 e. 52nd st., new york city, american (new)
1006,gotham bar & grill, 12 e. 12th st., new york city, american (new)
1007,gramercy tavern, 42 e. 20th st., new york city, american (new)
1008,island spice, 402 w. 44th st., new york city, caribbean
1009,jo jo, 160 e. 64th st., new york city, french bistro
1010,la caravelle, 33 w. 55th st., new york city, french (classic)
1011,la cote basque, 60 w. 55th st., new york city, french (classic)
1012,le bernardin, 155 w. 51st st., new york city, seafood
1013,les celebrites, 155 w. 58th st., new york city, french (classic)
1014,lespinasse (new york city), 2 e. 55th st., new york city, asian
1015,lutece, 249 e. 50th st., new york city, french (classic)
1016,manhattan ocean club, 57 w. 58th st., new york city, seafood
1017,march, 405 e. 58th st., new york city, american (new)
1018,mesa grill, 102 fifth ave., new york city, southwestern
1019,mi cocina, 57 jane st., new york city, mexican
1020,montrachet, 239 w. broadway, new york city, french bistro
1021,oceana, 55 e. 54th st., new york city, seafood
1022,park avenue cafe (new york city), 100 e. 63rd st., new york city, american (new)
1023,petrossian, 182 w. 58th st., new york city, russian
1024,picholine, 35 w. 64th st., new york city, mediterranean
1025,pisces, 95 ave. a, new york city, seafood
1026,rainbow room, 30 rockefeller plaza, new york city, american (new)
1027,river cafe, 1 water st., brooklyn, american (new)
1028,san domenico, 240 central park s., new york city, italian
1029,second avenue deli, 156 second ave., new york city, delis
1030,seryna, 11 e. 53rd st., new york city, japanese
1031,shun lee palace, 155 e. 55th st., new york city, chinese
1032,sign of the dove, 1110 third ave., new york city, american (new)
1033,smith & wollensky, 797 third ave., new york city, steakhouses
1034,tavern on the green, central park west, new york city, american (new)
1035,uncle nick's, 747 ninth ave., new york city, greek
1036,union square cafe, 21 e. 16th st., new york city, american (new)
1037,virgil's real bbq, 152 w. 44th st., new york city, bbq
1038,chin's, 3200 las vegas blvd. s., las vegas, chinese
1039,coyote cafe (las vegas), 3799 las vegas blvd. s., las vegas, southwestern
1040,le montrachet bistro, 3000 paradise rd., las vegas, french bistro
1041,palace court, 3570 las vegas blvd. s., las vegas, french (new)
1042,second street grill, 200 e. fremont st., las vegas, pacific rim
1043,steak house  the, 2880 las vegas blvd. s., las vegas, steakhouses
1044,tillerman  the, 2245 e. flamingo rd., las vegas, steakhouses
1045,abruzzi, 2355 peachtree rd. ne, atlanta, italian
1046,bacchanalia, 3125 piedmont rd., atlanta, californian
1047,bone's restaurant, 3130 piedmont rd. ne, atlanta, steakhouses
1048,brasserie le coze, 3393 peachtree rd., atlanta, french bistro
1049,buckhead diner, 3073 piedmont rd., atlanta, american (new)
1050,ciboulette restaurant, 1529 piedmont ave., atlanta, french (new)
1051,delectables, 1 margaret mitchell sq., atlanta, cafeterias
1052,georgia grille, 2290 peachtree rd., atlanta, southwestern
1053,hedgerose heights inn  the, 490 e. paces ferry rd. ne, atlanta, continental
1054,heera of india, 595 piedmont ave., atlanta, indian
1055,indigo coastal grill, 1397 n. highland ave., atlanta, eclectic
1056,la grotta, 2637 peachtree rd. ne, atlanta, italian
1057,mary mac's tea room, 224 ponce de leon ave., atlanta, southern/soul
1058,nikolai's roof, 255 courtland st., atlanta, continental
1059,pano's & paul's, 1232 w. paces ferry rd., atlanta, american (new)
1060,ritz-carlton cafe (buckhead), 3434 peachtree rd. ne, atlanta, american (new)
1061,ritz-carlton dining room (buckhead), 3434 peachtree rd. ne, atlanta, american (new)
1062,ritz-carlton restaurant, 181 peachtree st., atlanta, french (classic)
1063,toulouse, 293-b peachtree rd., atlanta, french (new)
1064,veni vidi vici, 41 14th st., atlanta, italian
1065,alain rondelli, 126 clement st., san francisco, french (new)
1066,aqua, 252 california st., san francisco, american (new)
1067,boulevard, 1 mission st., san francisco, american (new)
1068,cafe claude, 7 claude ln., san francisco, french bistro
1069,campton place, 340 stockton st., san francisco, american (new)
1070,chez michel, 804 north point st., san francisco, californian
1071,fleur de lys, 777 sutter st., san francisco, french (new)
1072,fringale, 570 fourth st., san francisco, french bistro
1073,hawthorne lane, 22 hawthorne st., san francisco, californian
1074,khan toke thai house, 5937 geary blvd., san francisco, thai
1075,la folie, 2316 polk st., san francisco, french (new)
1076,lulu restaurant-bis-cafe, 816 folsom st., san francisco, mediterranean
1077,masa's, 648 bush st., san francisco, french (new)
1078,mifune, 1737 post st., san francisco, japanese
1079,plumpjack cafe, 3127 fillmore st., san francisco, american (new)
1080,postrio, 545 post st., san francisco, californian
1081,ritz-carlton dining room (san francisco), 600 stockton st., san francisco, french (new)
1082,rose pistola, 532 columbus ave., san francisco, italian
